State	Abbreviation	Acronym	class1	class1o	class2	MIVER	MIVSWD
Alabama	Ala.	AL	0	0	240	15	7
Alaska	Alaska	AK	0	29	1347	0	0
Arizona	Ariz.	AZ	0	0	0	0	0
Arkansas	Ark.	AR	4	9	1093	1	12
California	Calif.	CA	0	45	29505	42	43
Colorado	Colo.	CO	0	13	874	3	4
Connecticut	Conn.	CT	0	0	0	0	0
Delaware	Del.	DE	0	0	0	0	0
Dist. of Columbia	D.C.	DC	0	0	0	0	0
Florida	Fla.	FL	1	211	58	0	0
Georgia	Ga.	GA	0	0	0	0	0
Hawaii	Hawaii	HI	0	0	0	0	0
Idaho	Idaho	ID	0	0	0	0	0
Illinois	Ill.	IL	3	2	7843	88	19
Indiana	Ind.	IN	4	24	2091	26	1
Iowa	Iowa	IA	0	0	3	0	0
Kansas	Kans.	KS	5	48	16658	149	109
Kentucky	Ky.	KY	0	2	3403	14	0
Louisiana	La.	LA	15	22	3731	14	191
Maine	Maine	ME	0	0	0	0	0
Maryland	Md.	MD	0	0	0	0	0
Massachusetts	Mass.	MA	0	0	0	0	0
Michigan	Mich.	MI	9	21	1460	79	51
Minnesota	Minn.	MN	0	0	0	0	0
Mississippi	Miss.	MS	4	1	1110	0	0
Missouri	Mo.	MO	0	0	282	1	1
Montana	Mont.	MT	0	0	1062	41	12
Nebraska	Nebr.	NE	0	3	661	11	5
Nevada	Nev.	NV	0	0	18	0	0
New Hampshire	N.H.	NH	0	0	0	0	0
New Jersey	N.J.	NJ	0	0	0	0	0
New Mexico	N.M.	NM	0	5	4585	261	36
New York	N.Y.	NY	0	1	532	2	0
North Carolina	N.C.	NC	0	0	0	0	0
North Dakota	N.D.	ND	0	4	1023	5	6
Ohio	Ohio	OH	10	0	2455	0	4
Oklahoma	Okla.	OK	0	6	10629	59	40
Oregon	Ore.	OR	0	0	9	0	0
Pennsylvania	Pa.	PA	0	0	1861	28	0
Rhode Island	R.I.	RI	0	0	0	0	0
South Carolina	S.C.	SC	0	0	0	0	0
South Dakota	S.D.	SD	0	0	87	0	0
Tennessee	Tenn.	TN	0	0	18	0	0
Texas	Tex.	TX	58	50	52016	6105	0
Utah	Utah	UT	0	0	428	2	3
Vermont	Vt.	VT	0	0	0	0	0
Virginia	Va.	VA	0	0	11	0	0
Washington	Wash.	WA	0	0	1	0	0
West Virginia	W.Va.	WV	0	0	779	0	0
Wisconsin	Wis.	WI	0	0	0	0	0
Wyoming	Wyo.	WY	0	41	4978	12	2
